"date","event","observed_cloud","color","quality","sky_condition","case_url"
"2022-10-20","日落","高积云,卷云","橘黄色,橘色,橘红色","中到大烧","幡状高积云","https://weibo.com/2679043374/MbdA7aI1P
https://weibo.com/2712880581/Mbd2wuEAh
https://weibo.com/6129860996/MbcQTvIsh
https://weibo.com/5130206734/MbeEpbJwt
https://weibo.com/1802701570/Mbo5jp9Os"
"2022-10-21","日出","高积云","橘红色,橘色,橘黄色","中到大烧","-","https://weibo.com/1842458205/Mbi6h6nYs
https://weibo.com/2411313251/MbiiYw3mI
https://weibo.com/6094998718/MbhK2xwDF
https://weibo.com/1704661223/Mbhvgx7kI
https://video.weibo.com/show?fid=1034:4826904147197989"
"2022-10-21","日落","高积云","橘色,橘红色","小到中烧","幡状高积云","https://video.weibo.com/show?fid=1034:4827097680773157"
"2022-10-29","日出","高积云","橘红色","小到中烧","-","https://weibo.com/1808370032/Mcy9n4WdQ"
"2022-11-06","日出","卷层云","橘红色","大烧","-","https://video.weibo.com/show?fid=1034:4832701111533579
https://video.weibo.com/show?fid=1034:4832694790717453
https://video.weibo.com/show?fid=1034:4832697080807438
https://video.weibo.com/show?fid=1034:4832702747312169
https://weibo.com/7729087298/MdIIG1Ama
https://weibo.com/1864934092/MdJgSsrQa"
"2022-11-27","日出","卷云","橘红色","小到中烧","-","https://video.weibo.com/show?fid=1034:4840341921267714"
"2022-11-27","日落","高积云","橘黄色,橘色,橘红色","大烧","-","https://weibo.com/3994060502/Mh0CIu97L"
"2023-01-01","日出","高积云","橘红色,橘色","小到中烧","幡状高积云","https://weibo.com/2816822382/MmfeAoyQG
https://weibo.com/1947735540/MmgQdnBLI"
"2023-03-13","日出","卷层云","橘红色","小到中烧","-","https://weibo.com/2297900430/MxcUczyly
https://weibo.com/5878164542/Mx1Tljten"
"2023-03-15","日出","卷云","橘色","小烧","-","https://weibo.com/6129860996/MxkSiwXcX
https://weibo.com/1842458205/Mxmggkt9h"
"2023-04-03","日出","卷云","橘色","小烧","平流雾","-"
"2023-04-19","日落","卷层云","橘黄色,橘色,橘红色","小到中烧","-","https://weibo.com/2670306073/MCJrSuWts
https://weibo.com/5482442738/MCJIRmpLx"
"2023-04-29","日落","高层云","橘黄色,橘色,橘红色","大烧","降水线高层云,红虹","https://weibo.com/1969056195/MEgCkt3QZ
https://weibo.com/6881766474/MEm6FzmEm
https://weibo.com/1883437194/MEgdggkpN
https://weibo.com/5619878584/MEfSqjtEU"
"2023-05-02","日出","卷云","橘色","小烧","-","https://weibo.com/7612166895/MEEwFAbo6
https://weibo.com/5538010841/MECWwk2Sh"
"2023-05-05","日落","高积云","橘黄色","小烧","-","https://weibo.com/7382332605/MFabO1fOK"
"2023-05-08","日落","高积云","橘色","小烧","-","https://weibo.com/2966200962/MFCxrzgTS"
"2023-05-10","日出","卷云,高积云","橘黄色,橘红色","小到中烧","-","https://weibo.com/1842458205/MFSAbwDU8
https://weibo.com/2691321992/MFQLCBQ1a"
"2023-05-13","日落","卷层云","橘红色","微烧","-","https://weibo.com/5098986564/N0qlephYO
https://weibo.com/5538010841/N0quWzLn7"
"2023-05-14","日出","卷云","橘色","小到中烧","-","https://weibo.com/5662803579/N0uaYEgEa
https://weibo.com/6716642729/N0Ah2xCTX"
"2023-05-14","日落","卷云","橘色","小烧","密卷云","https://weibo.com/1905546174/N0zGC75Dm
https://weibo.com/5619878584/N0A3JivOl"
"2023-05-16","日出","卷层云","橘色","小到中烧","-","https://weibo.com/3708136830/N0Trfotxi"
"2023-05-21","日出","高积云,卷云","橘色","基本不烧","平流雾","https://weibo.com/5254740985/N1zscx9aY"
"2023-05-25","日落","卷层云","橘色","小到中烧","-","https://weibo.com/6716642729/N2hM1w3yb"
"2023-05-26","日出","卷云","橘色,橘黄色","小到中烧","密卷云","https://weibo.com/6115722047/N2oGdrQuX"
"2023-05-27","日落","高积云,卷云","橘黄色,橘色,橘红色","中到大烧","-","https://weibo.com/2537689334/N2zO05cmw
https://weibo.com/3169171125/N2zEW3FDU
https://weibo.com/1842458205/N2yAxfRTM"
"2023-05-29","日出","高积云,卷云","橘黄色","小到中烧","-","https://weibo.com/2370199830/N2LLjrbn0"
"2023-05-29","日落","云砧","橘色","小到中烧","彩虹,降水线云砧","https://weibo.com/6716642729/N2S4WAnur
https://weibo.com/1842458205/N2RyGqqTj"
"2023-06-03","日落","卷层云","橘红色","小到中烧","-","https://weibo.com/3169171125/N3DJwplJK"
"2023-06-09","日出","卷云","橘红色,橘色","中到大烧","-","https://weibo.com/5538010841/N4rhsFnuZ"
"2023-06-09","日落","卷云","橘黄色,橘色,橘红色","小到中烧","-","https://weibo.com/5538010841/N4x498V8i"
"2023-06-15","日落","卷云","橘色","小烧","-","https://weibo.com/5254740985/N5sWcdZwl"
"2023-06-16","日出","卷层云","红色,橘红色,橘色","大烧","-","https://weibo.com/1740686651/N5xSSiSQV
https://weibo.com/5254740985/N5KYnqZ72
https://weibo.com/1632542437/N5HnihWhr
https://weibo.com/1026214237/N5xFXebCZ
https://weibo.com/5157956008/N5wgFk8XL
https://weibo.com/1872357181/N5w1a66q1
https://weibo.com/7738187599/N5vGf8Zbz"
"2023-06-16","日落","高层云","橘黄色,橘色","小烧","彩虹,降水线高层云","https://weibo.com/5538010841/N5B3ipFU0
https://weibo.com/1632542437/N5HnihWhr"
"2023-06-20","日落","卷云","橘色","微烧","-","https://weibo.com/5619878584/N6cOUlQbM"
"2023-06-21","日出","卷层云","橘红色,橘色","小到中烧","-","https://weibo.com/6441777827/N6gHG6pYH"
"2023-06-22","日出","高积云","橘色","小到中烧","-","https://weibo.com/2231380923/N6pUbiZqx
https://weibo.com/7377374815/N6q0naOhJ"
"2023-06-22","日落","高层云","红色","小到中烧","-","https://weibo.com/7377374815/N6vV4nybJ"
"2023-06-23","日出","卷层云","橘色","中到大烧","-","https://video.weibo.com/show?fid=1034:4915729384800278"
"2023-06-23","日落","高层云,高积云","红色,橘红色","中到大烧","红虹,降水线高层云","https://weibo.com/6441777827/N6FKJ4o4w
https://weibo.com/5254740985/N6G4thJ1K
https://weibo.com/1792625951/N6F2r7egA
https://weibo.com/7775955469/N6EYDxi2U"
"2023-06-25","日落","高积云","橘红色","小烧","-","https://weibo.com/1836309624/N6Z6y22My
https://weibo.com/2241380590/N6XUvyLmi
https://weibo.com/1632542437/N6YA11r4F"
"2023-06-26","日落","高积云,卷云","橘黄色,橘色","中到大烧","密卷云","https://video.weibo.com/show?fid=1034:4917019422687270
https://weibo.com/1883437194/N78Q6hJEC
https://weibo.com/1872357181/N78v3Bj3k
https://weibo.com/5662803579/N78nLi0ER
https://weibo.com/2241380590/N77O4C4x3"
"2023-06-27","日落","卷云","橘黄色,橘色","小到中烧","密卷云","https://weibo.com/5225486648/N7i4Ehu80
https://weibo.com/1211871433/N7hE9F5Um
https://weibo.com/1760816882/N7gFu4xAZ"
"2023-07-01","日出","层积云","橘色,橘黄色","中到大烧","降水线层积云,彩虹","https://weibo.com/1376016462/N7MTxqJ07"
"2023-07-04","日出","卷层云,高积云","橘色","小烧","-","https://weibo.com/6441777827/N8glqztWU"
"2023-07-04","日落","卷云","橘黄色","小到中烧","-","https://weibo.com/1427936975/N8luW6jgH"
"2023-07-05","日落","卷云","橘黄色,橘色,橘红色","中到大烧","密卷云","https://weibo.com/1632542437/N8umNzxJn
https://weibo.com/1836309624/N8vCWclsq
https://weibo.com/6441777827/N8vypqYUU
https://weibo.com/2816822382/N8vubn7GF
https://weibo.com/1041461672/N8uqVurJJ
https://weibo.com/1427936975/N8ubZnX25"
"2023-07-06","日出","高积云","橘红色,橘色,橘黄色","中到大烧","-","https://weibo.com/6441777827/N8ERbjxSN
https://video.weibo.com/show?fid=1034:4920372701888522"
"2023-07-06","日落","卷云","橘色","小到中烧","-","https://weibo.com/6716642729/N8EtvyGiQ
https://weibo.com/6394378596/N8EhrD0d4"
"2023-07-08","日落","高积云,高层云","橘色","微烧","彩虹,降水线高层云","https://weibo.com/5538010841/N8Ws4sUtT"
"2023-07-09","日落","高积云,卷层云","橘黄色,橘色","大烧","絮状高积云,幡状高积云,彩虹,乳状卷层云","https://weibo.com/3829399980/N96GLskYd
https://weibo.com/7781979403/N96OH9ivK
https://weibo.com/3415843222/N97isacfG
https://weibo.com/1211871433/N97i0nwT2
https://weibo.com/1196209710/N973yw05q"
"2023-07-10","日出","高积云,卷云","橘色","小到中烧","-","https://weibo.com/1376016462/N9a5VxDkO"
"2023-07-10","日落","高积云","橘红色","中到大烧","-","https://video.weibo.com/show?fid=1034:4922055900987471
https://weibo.com/5341319494/N9gr5uN1b
https://weibo.com/6297059809/N9gMy5Uaj
https://weibo.com/5662803579/N9fTwDpUJ"
"2023-07-14","日落","云砧","橘黄色,橘色","小到中烧","降水线云,彩虹","https://weibo.com/1587753852/N9RhowF5t"
"2023-07-16","日出","高积云,卷云","橘色,橘黄色","中到大烧","-","https://video.weibo.com/show?fid=1034:4924186506756104"
"2023-07-18","日落","积雨云,高积云,卷云","橘色,橘红色","中到大烧","闪电","https://weibo.com/1945044080/Nat6nE82l
https://weibo.com/6441777827/NateNe2Hf
https://weibo.com/6039190460/Nat0Jc0y8
https://weibo.com/2370199830/NasGriufI
https://weibo.com/7781979403/Natvsy1uk"
"2023-07-19","日出","高积云","橘红色","小烧","幡状高积云","https://weibo.com/1770475104/Nay0y1TQa"
"2023-07-22","日落","高积云,卷云","橘色,橘红色","中到大烧","幡状高积云","https://weibo.com/1632542437/Nb4Flpx33
https://weibo.com/1587753852/Nb4IiBKFX
https://weibo.com/7781979403/Nb4BZ8yi5
https://weibo.com/6250857015/Nb4ubFHQf"
"2023-07-23","日落","高积云","橘色,橘红色","大烧","-","https://video.weibo.com/show?fid=1034:4926787575283723
https://video.weibo.com/show?fid=1034:4926759640956979
https://video.weibo.com/show?fid=1034:4926757091082296
https://video.weibo.com/show?fid=1034:4926752255049786
https://weibo.com/2559480524/Nbf8h10GX"
"2023-07-26","日出","高积云","橘色","中到大烧","-","https://video.weibo.com/show?fid=1034:4927856086810645
https://video.weibo.com/show?fid=1034:4927706807337012"
"2023-07-27","日出","高积云,卷云","橘色,橘黄色","中到大烧","复高积云","https://weibo.com/5157956008/NbK98rNcZ
https://video.weibo.com/show?fid=1034:4928260556128295
https://video.weibo.com/show?fid=1034:4928165634572320"
"2023-07-27","日落","高层云","橘黄色,橘色,橘红色","中到大烧","降水线高层云,红虹","https://weibo.com/3169171125/NbXWHrC4v
https://weibo.com/1548850861/NchLtes6p
https://video.weibo.com/show?fid=1034:4928223134285828
https://weibo.com/5885108869/NbQm6gSnS
https://weibo.com/2691417500/NbQ8Vu8II
https://weibo.com/1079610644/NbQ9yg9wX
https://weibo.com/1212156690/NbPOWh4Jg
https://weibo.com/1415104792/NbPK09lua
https://weibo.com/1839008834/NbPAzBV6I"
"2023-07-30","日出","高积云,层积云,卷层云","橘色,橘红色","中到大烧","幡状高积云,堡状层积云","-"
"2023-07-30","日落","高积云","橘黄色,橘色","中到大烧","-","https://video.weibo.com/show?fid=1034:4929319722483724
https://weibo.com/5662803579/NcinuB67H
https://weibo.com/1079610644/NchYbAFaU
https://weibo.com/5157956008/NchVj3PTG
https://weibo.com/1839008834/Ncia2afKY
https://weibo.com/2691417500/NbQ8Vu8II"
"2023-07-31","日落","高积云,卷云","橘黄色,橘色","中到大烧","密卷云,乳状卷云,波状高积云,絮状高积云","https://weibo.com/7849834035/Ncrp47kAU
https://video.weibo.com/show?fid=1034:4929677404340226
https://video.weibo.com/show?fid=1034:4929664087687248
https://video.weibo.com/show?fid=1034:4929658077249643
https://video.weibo.com/show?fid=1034:4929652116881436"
"2023-08-01","日出","浓积云,卷层云,高积云","橘红色,橘色,橘黄色","中到大烧","红虹,幡状高积云","https://video.weibo.com/show?fid=1034:4930026764697666
https://weibo.com/5577709294/NcwOJBp7J"
"2023-08-02","日落","卷云,卷层云","橘黄色,橘色,橘红色","小到中烧","-","https://video.weibo.com/show?fid=1034:4930430689017973
https://weibo.com/tv/show/1034:4930413043318852"
"2023-08-03","日落","卷云","橘黄色,橘色,橘红色","微烧","-","-"
"2023-08-04","日落","卷云","橘黄色,橘色,橘红色","小到中烧","-","https://weibo.com/5577709294/Nd2X9t8AC"
"2023-08-06","日落","高积云","橘色,橘红色","小烧","-","-"
"2023-08-07","日出","高积云","橘红色","小烧","-","-"
"2023-08-09","日落","积雨云","橘色,橘红色","小到中烧","-","https://weibo.com/1839008834/NdOyTpEGv
https://weibo.com/1415104792/NdO1YbixY"
"2023-08-11","日落","卷云","橘色","微烧","-","-"
"2023-08-13","日落","云砧","橘色","小烧","-","-"
"2023-08-14","日出","高积云","橘色","中到大烧","-","https://weibo.com/5667663715/Nezt6lNEa
https://weibo.com/6115722047/NezLzFiwr"
"2023-08-14","日落","浓积云,积雨云","橘黄色,橘色","小到中烧","-","https://weibo.com/7781979403/NeziOoRpn
https://weibo.com/1806916195/NeziieDlH
https://weibo.com/1808370032/NezsF8ziT"
"2023-08-15","日出","高积云","橘红色,橘色","中到大烧","复高积云","-"
"2023-08-15","日落","高积云","橘黄色,橘色","中到大烧","幡状高积云,复高积云,日柱","https://video.weibo.com/show?fid=1034:4935099095908456
https://video.weibo.com/show?fid=1034:4935115483054179
https://weibo.com/1212156690/NeK0iaHW1
https://weibo.com/7775955469/NeIK9wNXd
https://weibo.com/1883417577/NeICc4Gd2"
"2023-08-17","日落","云砧","橘黄色,橘色","中到大烧","彩虹,降水线云","https://weibo.com/6410051017/Nf25gcerr
https://weibo.com/2816822382/Nf1CZB9ow
https://weibo.com/7084142667/Nf1he7JEu
https://weibo.com/tv/show/1034:4935797913092164
https://video.weibo.com/show?fid=1034:4935876749492281
https://www.720yun.com/vr/f82jOgmvrv6"
"2023-08-18","日落","积雨云","橘色","中到大烧","-","https://weibo.com/1427936975/NfbNoBM7s"
"2023-08-21","日出","高积云,卷云","橘红色,橘色","中到大烧","-","-"
"2023-08-23","日落","高积云,卷云","橘黄色,橘色,橘红色","中到大烧","-","https://weibo.com/2241380590/NfVMNE7tc"
"2023-08-26","日出","卷云,卷层云","橘红色,橘色","中到大烧","-","-"
"2023-08-27","日出","卷云,浓积云","橘色","小到中烧","密卷云,云砧转化卷云","https://weibo.com/3829399980/NgIukmDuV
https://video.weibo.com/show?fid=1034:4946336533905432"
"2023-08-28","日出","卷层云,高积云","橘红色,橘色","大烧","-","https://weibo.com/1494729930/NgBIupB9f"
"2023-08-31","日出","高积云","橘红色,橘黄色","中到大烧","-","-"
"2023-08-31","日落","高积云","橘黄色,橘色,橘红色","大烧","幡状高积云","https://video.weibo.com/show?fid=1034:4940889882034227
https://video.weibo.com/show?fid=1034:4940915559563389
https://video.weibo.com/show?fid=1034:4940872161099910
https://weibo.com/6560506561/NhaZnwFRP
https://weibo.com/6509276856/NhaUImbUO
https://weibo.com/2034201625/NhaVqEnrf
https://weibo.com/5602428060/NhaN4A7A9
https://weibo.com/1883437194/NhaIB7dIb
https://weibo.com/1212156690/NhaFYD3dV
https://weibo.com/1426186827/NhaB0nWXm
https://weibo.com/2775755475/Nhar40l4v
https://weibo.com/5389383367/Nhan3vOgn
https://weibo.com/1783578705/NhajVoFzE
https://weibo.com/6970424013/Nhaf6pHQe
https://weibo.com/6359256223/Nhacw9LAm
https://weibo.com/7612166895/NhjBEtXEr"
"2023-09-01","日落","卷云,高积云","橘黄色,橘色,橘红色","中到大烧","-","https://weibo.com/2642303692/Nhkl0sxM7
https://weibo.com/1780075421/Nhkaj0roA
https://weibo.com/1632542437/Nhk6GpNDZ
https://weibo.com/1770475104/Nhk3pqImw
https://weibo.com/7738187599/NhjGjA1hB
https://weibo.com/1623721534/Nhj2kpp8N
https://weibo.com/1883437194/NhnPelzYZ
https://weibo.com/1402519174/Nhow1ySpj
https://video.weibo.com/show?fid=1034:4941291767660632
https://video.weibo.com/show?fid=1034:4941273950257242
https://video.weibo.com/show?fid=1034:4941272788435018"
"2023-09-04","日出","卷云","橘红色,橘色,橘黄色","小到中烧","-","https://weibo.com/1415104792/NhFGy85Xy"
"2023-09-04","日落","高积云,浓积云","橘黄色,橘色","小到中烧","絮状高积云,幡状高积云,落幡云洞","https://weibo.com/5022072274/NhL8xs6YD
https://weibo.com/2951798900/NhLyc9ANk
https://weibo.com/5252166634/NhM7VbcIE"
"2023-09-05","日出","高积云","橘红色,橘色","小到中烧","-","-"
"2023-09-05","日落","高积云,卷云,卷层云","橘黄色,橘色","中到大烧","密卷云,乳状卷云,彩虹,降水线云","https://weibo.com/5972339664/NhUHpuW6N
https://weibo.com/1770475104/NhVP03gjx
https://weibo.com/6716642729/NhViv1clK
https://video.weibo.com/show?fid=1034:4942736936337423"
"2023-09-09","日出","卷云","橘红色,橘色,橘黄色","小到中烧","-","-"
"2023-09-15","日出","层积云","橘色,橘黄色","小到中烧","幡状层积云","https://weibo.com/6115722047/NjrBwCPRU"
